entity_name,year,gdp_per_capita,origin
India,2017,6112,wb
India,2018,6436,wb
India,2019,6617,wb
India,2020,6172,wb
India,2021,6677,wb
India,2022,7112,wb
Indonesia,2018,11397,wb
Indonesia,2017,10942,wb
Indonesia,2019,11858,wb
Indonesia,2020,11516,wb
Indonesia,2021,11859,wb
Indonesia,2022,12410,wb
Iran,2022,15461,wb
Iran,2021,15005,wb
Iran,2020,14432,wb
Iran,2019,14084,wb
Iran,2017,15163,wb
Iran,2018,14691,wb
Iraq,2017,9977,wb
Iraq,2022,9199,wb
Iraq,2018,9995,wb
Iraq,2020,8848,wb
Iraq,2019,10299,wb
Iraq,2021,8787,wb
Ireland,2020,91791,wb
Ireland,2019,86985,wb
Ireland,2018,83746,wb
Ireland,2017,78169,wb
Ireland,2022,112445,wb
Ireland,2021,104672,wb
Israel,2017,39448,wb
Israel,2018,40270,wb
Israel,2019,41151,wb
Israel,2020,39681,wb
Israel,2021,42379,wb
Israel,2022,44393,wb
Italy,2021,42563,wb
Italy,2020,39094,wb
Italy,2019,42739,wb
Italy,2018,42046,wb
Italy,2017,41581,wb
Italy,2022,44292,wb
Jamaica,2022,10108,wb
Jamaica,2021,9605,wb
Jamaica,2020,9206,wb
Jamaica,2019,10244,wb
Jamaica,2018,10161,wb
Jamaica,2017,9985,wb
Japan,2017,41444,wb
Japan,2018,41764,wb
Japan,2019,41654,wb
Japan,2020,40045,wb
Japan,2021,41259,wb
Japan,2022,41838,wb
Jordan,2022,9491,wb
Jordan,2021,9380,wb
Jordan,2020,9231,wb
Jordan,2019,9535,wb
Jordan,2018,9585,wb
Jordan,2017,9629,wb
Kazakhstan,2022,26093,wb
Kazakhstan,2021,26111,wb
Kazakhstan,2020,25362,wb
Kazakhstan,2019,26352,wb
Kazakhstan,2018,25544,wb
Kazakhstan,2017,24863,wb
Kenya,2019,4601,wb
Kenya,2018,4465,wb
Kenya,2017,4313,wb
Kenya,2020,4497,wb
Kenya,2022,4882,wb
Kenya,2021,4746,wb
Kiribati,2022,2003,wb
Kiribati,2021,2008,wb
Kiribati,2020,1897,wb
Kiribati,2019,1964,wb
Kiribati,2018,2039,wb
Kiribati,2017,1971,wb
Kosovo,2017,10436,wb
Kosovo,2020,10707,wb
Kosovo,2019,11318,wb
Kosovo,2021,11884,wb
Kosovo,2022,12675,wb
Kosovo,2018,10755,wb
Kuwait,2022,49400,wb
Kuwait,2021,45580,wb
Kuwait,2020,43923,wb
Kuwait,2019,47315,wb
Kuwait,2018,48943,wb
Kuwait,2017,50007,wb
Kyrgyzstan,2018,5133,wb
Kyrgyzstan,2019,5258,wb
Kyrgyzstan,2020,4791,wb
Kyrgyzstan,2021,4910,wb
Kyrgyzstan,2022,5070,wb
Kyrgyzstan,2017,5047,wb
Laos,2017,7211,wb
Laos,2018,7546,wb
Laos,2019,7840,wb
Laos,2020,7764,wb
Laos,2021,7847,wb
Laos,2022,7948,wb
Latin America and Caribbean (WB),2022,16484,wb
Latin America and Caribbean (WB),2021,15957,wb
Latin America and Caribbean (WB),2020,14976,wb
Latin America and Caribbean (WB),2019,16178,wb
Latin America and Caribbean (WB),2018,16198,wb
Latin America and Caribbean (WB),2017,16075,wb
Latvia,2017,28674,wb
Latvia,2019,30438,wb
Latvia,2020,29576,wb
Latvia,2021,31834,wb
Latvia,2022,32992,wb
Latvia,2018,30051,wb
Lebanon,2019,17185,wb
Lebanon,2020,13791,wb
Lebanon,2018,17938,wb
Lebanon,2017,17808,wb
Lebanon,2021,12987,wb
Lesotho,2022,2240,wb
Lesotho,2021,2239,wb
Lesotho,2020,2225,wb
Lesotho,2019,2435,wb
Lesotho,2018,2501,wb
Lesotho,2017,2571,wb
Liberia,2019,1456,wb
Liberia,2022,1461,wb
Liberia,2021,1423,wb
Liberia,2018,1522,wb
Liberia,2017,1533,wb
Liberia,2020,1384,wb
Libya,2022,19797,wb
Libya,2021,20274,wb
Libya,2020,15621,wb
Libya,2019,22535,wb
Libya,2018,25734,wb
Libya,2017,24213,wb
Liechtenstein,2022,174678,other-estimated
Lithuania,2022,39955,wb
Lithuania,2021,39432,wb
Lithuania,2020,37180,wb
Lithuania,2019,37199,wb
Lithuania,2018,35447,wb
Lithuania,2017,33762,wb
Low-income countries,2018,1951,wb
Low-income countries,2019,1979,wb
Low-income countries,2020,1938,wb
Low-income countries,2021,1922,wb
Low-income countries,2022,1949,wb
Low-income countries,2017,1933,wb
Lower-middle-income countries,2017,6475,wb
Lower-middle-income countries,2018,6705,wb
Lower-middle-income countries,2019,6852,wb
Lower-middle-income countries,2020,6541,wb
